DIA;TEMP;H.R.;INT VIENTO (km/h);PREC; FFMC;DMC;DC;ISI ;BUI;FWI
20170101;26,4;81;14;1,5;26,4;14,6;55,7;1,8;17,6;2,4
20170102;26,3;86;8;17;30,43313534;7,170213201;36,09257473;0,00580402;9,581655731;0,003421742
20170103;28,2;90;10;1;48,10518725;7,808396501;44,87257473;0,213103327;10,88254238;0,134640073
20170104;21,2;91;27;100;27,22192315;3,328571008;7,52;0,006029784;3,281833267;0,002193178
20170105;27,7;74;8;0;62,10344839;4,959532288;16,21;0,691124494;5,620223991;0,313081205
20170106;25,9;75;15;0;77,76742864;6,429749788;24,576;1,967559253;7,774468641;1,218068383
20170107;30,2;67;5;0;84,04191725;8,679509278;33,716;2,380673035;10,56174438;2,373454607
20170108;28,5;79;11;0;84,08930767;10,03341624;42,55;3,241371789;12,62456045;3,944867939
20170109;28,3;77;8;21;51,43577731;5,644558855;17,44485958;0,29054057;6,240824917;0,138115834
20170110;25,6;71;16;2;69,82811986;5,999114931;25,75685958;1,393054592;7,582858525;0,727694656
20170111;27,8;56;10;0;84,31642258;8,768786891;34,46485958;3,177553237;10,71934797;3,473140265
20170112;30,2;65;12;0;86,10923676;11,15489544;43,60485958;4,501150684;13,60731218;5,792396307
20170113;32,2;65;15;0;86,69752193;13,69347099;53,10485958;5,689261203;16,65221055;8,038189466
20170114;25,9;75;13;24;54,22593975;7,103590489;21,60068742;0,499803067;7,796938466;0,264754028
20170115;23,9;89;5;0;63,61083461;7,702567989;29,60668742;0,639462356;9,334139189;0,371774278
20170116;22,9;88;7;26;28,90769748;3,672099557;7,826;0,003611866;3,598476162;0,001359471
20170117;26,9;78;14;0;63,18145428;5,013809157;16,372;0,986495238;5,679415946;0,449009355
20170118;32;54;7;0;84,50818478;8,330184217;25,836;2,803574367;9,22468508;2,688161873
20170119;30,6;69;2;0;85,40093301;10,47060309;35,048;2,463386746;11,98780393;2,7390103
20170120;30,1;54;15;0;88,02842385;13,59661221;44,17;6,879098186;15,36721088;9,089498924
20170121;29,7;65;10;0;87,96349124;15,94460401;53,22;5,297755694;18,23287622;7,928197834
20170122;29,1;65;3;0;87,87688943;18,24685571;62,162;3,677444844;21,04787721;6,160957026
20170123;29;62;2;0;87,92554596;20,73816649;71,086;3,52121911;23,98399609;6,40211327
20170124;32;50;15;0;89,25832876;24,34292199;80,55;8,206941465;27,73297131;14,21432685
20170125;26,9;56;21;0;89,08370041;27,02634119;89,096;10,8286257;30,74058999;18,45384424
20170126;22,4;58;12;0;88,17344369;29,17612589;96,832;6,038383348;33,28201806;12,29996553
20170127;23,2;57;13;0;88,22219813;31,45202258;104,712;6,394944216;35,92633629;13,41450573
20170128;28,1;47;15;0;89,14663231;34,82285014;113,474;8,076408232;39,41022213;16,84383286
20170129;30;52;3;0;89,19570805;38,07431782;122,578;4,443453519;42,86363341;11,05926052
20170130;34;48;16,5;0;90,02382758;42,04978594;132,402;9,878190841;46,87878263;21,33807171
20170131;32,6;52;9;0;90,07319293;45,5730805;141,974;6,817887215;50,56680813;16,92286753
20170201;29,7;62;10;5;73,63277194;32,31066832;142,3197304;1,184075226;41,22384385;2,946041616
