DIA;TEMP;H.R.;INT VIENTO (km/h);PREC;FFMC;DMC;DC
1;28;69;6;127;75;15;61
2;26;84;7;577;45;3;21
3;25;73;8;139;73;12;69
4;21;72;7;55;74;13;84
5;17;84;9;77;52;11;134
6;14;82;8;41;60;2;65
7;13;76;10;80;62;3;52
8;14;75;8;90;69;6;23
9;18;74;11;83;65;8;20
10;20;63;9;44;74;19;92
11;25;51;10;55;84;35;159
12;28;47;12;38;82;40;298
