DIA;TEMP;H.R.;INT VIENTO;PREC; FFMC;DMC;DC;ISI ;BUI;FWI
20100228;24;78;16;0;82,95464518;7,85417178;43,60035913;3,594636205;10,83072475;4,020451271
20100301;27,3;71;7;0;84,34788093;9,289278308;50,21835913;2,74344238;12,70377009;3,268030933
20100302;28,4;75;6;0;84,39537236;10,57435731;57,03435913;2,625432204;14,4506977;3,391586864
20100303;26,4;87;10;2;68,43698646;9,466703964;63,49035913;0,985150712;13,79220518;0,71230705
20100304;28,5;77;8;2;70,12656477;9,004647669;70,32435913;0,939901805;13,64225569;0,675261656
20100305;28,8;72;0;0;77,14706758;10,46345192;77,21235913;0,880305186;15,63122915;0,685565551
20100306;28,7;69;7;0;83,37880539;12,07315495;84,08235913;2,4125777;17,76812078;3,555422907
20100307;27,6;66;0;0;84,73562033;13,77346693;90,75435913;2,032317897;19,96999553;3,162061382
20100308;26,7;74;11;0;84,78323977;15,03293148;97,26435913;3,560357701;21,6863828;6,083360852
20100309;26,6;89;11;0;81,77743309;15,56386513;103,7563591;2,415505889;22,63818614;4,223021886
20100310;29;73;8;0;83,97850762;16,97997863;110,6803591;2,745781007;24,54576348;5,099118073
20100311;27,6;59;20;1;85,07033961;19,03035484;117,3523591;5,827983637;27,08155925;10,68192955
20100312;25,6;63;2;0;85,75044282;20,75175084;123,6643591;2,586278172;29,23775036;5,392052251
20100313;24,9;76;8;0;85,12558041;21,83905836;129,8503591;3,208242976;30,74914874;6,843170483
20100314;27,2;56;6;0;87,03910698;24,00879445;136,4503591;3,795052475;33,34829256;8,359619677
20100315;22,7;49;10;0;87,82058037;26,12381668;142,2403591;5,190422395;35,80691729;11,33670546
20100316;25,7;53;10;0;87,86921832;28,31864448;148,5703591;5,226697304;38,35865695;11,84733947
20100317;28,2;50;18;0;88,6560843;30,87137768;155,3503591;8,75535048;41,24976813;18,31116561
20100318;17,5;100;0;74;9,132644613;8,775357504;15,32154906;8,17548E-07;8,608432711;4,55549E-07
20100319;25,7;91;8;40;19,56699723;3,830200392;6,33;0,000165056;3,641480057;6,24065E-05
20100320;23,5;86;13;0;45,96114242;4,430310504;12,264;0,183154191;4,655856801;0,07642349
20100321;27,5;81;10;0;68,13319758;5,377174136;18,918;0,975581601;6,286924604;0,465371782
20100322;20,8;93;3;20;19,84404792;2,273905796;5,448;0,000142926;2,254297074;4,58544E-05
20100323;22,9;69;6;0;54,04741729;3,570310916;11,274;0,345289947;3,985359313;0,135208997
20100324;27;45;3;0;80,28412078;6,263313756;17,838;1,362942728;6,670888596;0,668699218
20100325;24;66;11;0;84,02469647;7,750346188;23,862;3,213511975;8,554481528;3,044475492
20100326;24;84;13;0;82,95950861;8,450126156;29,886;3,092326126;9,901351038;3,193366986
20100327;27;84;11;0;83,00654166;9,233545164;36,45;2,812784062;11,30659778;3,108956022
20100328;23;95;8;0;78,64889603;9,443514004;42,294;1,491797488;12,12100464;1,020815729
20100329;27;80;11;0;81,49169716;10,42278776;48,858;2,335170383;13,595055;2,807310575
20100330;28;66;8;0;84,91541752;12,14679748;55,602;3,116837466;15,71232148;4,348255137
