DIA;TEMP;H.R.;INT VIENTO (km/h);PREC;FFMC;DMC;DC
3;25;65;6;41;80;25;319
4;23;54;7;25;84;40;337
5;19;63;10;73;76;34;324
6;12;78;7;33;58;8;199
7;17;80;10;82;62;5;140
8;16;63;11;86;78;10;83
9;18;60;10;29;81;27;55
10;21;68;9;85;69;13;57
11;27;49;8;75;83;42;147
12;28;49;8;21;85;39;230
