DIA;TEMP;H.R.;INT VIENTO (km/h);PREC; FFMC;DMC;DC;ISI ;BUI;FWI
20110101;30;59;6;0;89,1;56,3;395;5,1;83;17,8
20110102;30;52;16;0;89,14906034;59,55146768;404,104;8,49668248;87,03703619;26,33429966
20110103;27;73;9;0;86,37131752;61,20399215;412,668;4,015381213;89,29790414;15,52354532
20110104;28,2;71;16;0;86,41947699;63,05472372;421,448;5,752276676;91,78029462;20,55708396
20110105;27,5;72;13;0;86,28943227;64,7989462;430,102;4,855418116;94,14013249;18,41483749
20110106;31,6;38;8;0;90,97413518;69,21482614;439,494;7,373580755;99,3239446;25,50337064
20110107;33,7;38;8;0;91,80750083;73,9142947;449,264;8,300504058;104,745826;28,37515303
20110108;29,8;65;5;12,2;62,0408701;38,90061326;408,0325597;0,592235993;62,82690086;1,626220543
20110109;33,6;42;11;0;88,32396255;43,28425732;417,7845597;5,867003895;68,75916086;17,85536204
20110110;26,9;66;5;0;87,47855684;45,35780852;426,3305597;3,842007467;71,6565547;13,23427777
20110111;27,7;66;6;0;87,45219638;47,49060404;435,0205597;4,025339006;74,61669877;14,04778173
20110112;27,1;64;26;0;87,5007127;49,70181116;443,6025597;11,10217189;77,65281489;29,8492072
20110113;29,7;50;5;0;88,75109646;53,05608516;452,6525597;4,610627548;82,06481911;16,43512924
20110114;34,1;39;3;0;91,40076622;57,73290148;462,4945597;6,090412014;88,00254788;20,94987605
20110115;35,8;36;11;0;92,56326672;62,87670244;472,6425597;10,74179402;94,3683278;32,14780176
20110116;35,1;43;23;0;92,61347046;67,37099398;482,6645597;19,80160041;99,88631074;49,03506667
20110117;25;70;1;4;60,95023211;49,21384712;477,6033383;0,455888977;78,26577537;1,294711148
20110118;30;60;6;0;81,40838433;51,92340352;486,7073383;1,797586314;81,98167701;7,616609548
20110119;33;53;11;0;88,20455587;55,41424439;496,3513383;5,767378714;86,6451402;19,97551811
20110120;24;54;3;24;54,20791099;24,65627019;394,099325;0,301475551;42,64282015;0,453276314
20110121;29;36;16;0;87,18013821;28,85216203;403,023325;6,408256997;48,94455642;15,87229217
20110122;31;60;11;0;87,43431003;31,64884243;412,307325;5,165254019;53,10650415;14,06955267
20110123;32,2;60;11;0;87,64197733;34,55007163;421,807325;5,320868147;57,35527365;15,0224104
20110124;33,3;55;13;0;88,62362429;37,92177043;431,505325;6,774094316;62,18180773;18,80525459
20110125;31,2;74;20;0;86,57869316;39,75093881;440,825325;7,196823827;64,8764674;20,10003973
20110126;21,8;100;5;9;20,97464345;20,64409146;413,3033052;0,000243055;36,70476599;0,000329244
20110127;29,7;71;11;52;52,56141816;9,240494273;239,5536539;0,38216882;16,85553366;0,311540067
20110128;31,1;70;2;0;73,6805933;11,34453887;248,8556539;0,793015311;20,36781747;0,727183615
20110129;30;75;6;7;58,48269631;7,630998227;241,648011;0,500421351;14,14526387;0,367233857
20110130;32;74;14;0;79,55623387;9,505471087;251,112011;2,200415333;17,36739958;3,133451723
20110131;26;97;10;0;77,31098059;9,682550617;259,496011;1,475160737;17,71281013;1,796888831
20110201;26,5;37;9;0;88,7618073;13,14050218;267,270011;5,648678266;23,40428723;9,609812599
