DIA;TEMP;H.R.;INT VIENTO (km/h);PREC; FFMC;DMC;DC;ISI ;BUI;FWI
20200101;25;75;12;0;70,5;11,8;55,8;1,2;15,5;0,9
20200102;25,3;72;12;0;80,53876971;13,41005152;64,058;2,204604034;17,60593436;3,173120886
20200103;26,7;62;16;0;85,4177693;15,71099636;72,568;4,998781015;20,38733211;8,011889144
20200104;27,3;57;6;0;86,97328293;18,37089208;81,186;3,759670239;23,46662487;6,716824556
20200105;29,8;55;9;0;87,97184126;21,39954013;90,254;5,043496634;26,87103721;9,425353115
20200106;23,6;66;23;0;86,90899418;23,22870851;98,206;8,772736342;29,19415256;15,35973923
20200107;26;39;0;0;89,29740899;26,82932562;106,59;3,876332317;32,93427669;8,452709267
20200108;29,4;47;15;0;89,46776711;30,35022427;115,586;8,45735444;36,6450687;16,78997049
20200109;19,9;93;19;52;26,74206989;9,513111643;25,62417646;0,00348144;9,867665337;0,00208513
20200110;21,8;93;12;22,6;17,20217157;4,254842455;7,628;7,70272E-05;4,102315136;3,05118E-05
20200111;29,5;67;9;11,4;55,11341111;3,757599482;9,014;0,443728831;3,738510334;0,169470224
20200112;31,6;50;12;0;84,82780987;7,318792982;18,406;3,767216286;7,340531729;3,361325915
20200113;29,8;61;15;0;86,79252041;9,943621292;27,474;5,766475277;10,44047823;6,360693517
20200114;30,4;70;24;0;86,84081893;12,00192579;36,65;9,137075483;13,19846387;10,69845669
20200115;20;92;15;24;29,5155975;5,312776035;7,304;0,00641663;5,043147338;0,002770518
20200116;23,1;55;15;10;59,004584;4,544079053;7,862;0,816608433;4,375463688;0,332045614
20200117;25;50;21;0;83,60709257;7,386499553;16,066;5,032231113;7,321517274;4,628723135
20200118;26,3;63;5;0;85,5032997;9,594657333;24,504;2,906353631;9,69702471;2,915676702
20200119;31,6;70;7;0;85,70047338;11,73137343;33,896;3,304015975;12,57889115;4,01997167
20200120;23,7;93;4;12;28,83671638;5,778773749;23,66730025;0,003042895;7,176739858;0,001546803
20200121;28,4;77;12;1;62,59174917;7,256614599;32,48330025;0,866758152;9,312377321;0,503297172
20200122;28;73;16;16;59,0536787;4,703657073;16,37395924;0,861673745;5,475221993;0,385778869
20200123;26,9;69;3;0;75,45180952;6,594247873;24,91995924;0,914207122;7,937499848;0,488659444
20200124;28,7;68;12;0;83,59359008;8,671284033;33,78995924;3,192072005;10,5647018;3,459220361
20200125;30;64;12;0;86,11763154;11,10988479;42,89395924;4,506469168;13,48679513;5,769937098
20200126;31,8;46;21;0;89,7938467;14,97949725;52,32195924;11,99012627;17,46130138;15,14826731
20200127;26,9;71;12;0;86,75136829;16,74811445;60,86795924;4,928721207;19,8450644;7,793655476
20200128;26,8;65;15;0;86,79965323;18,8750291;69,39595924;5,772318339;22,47059645;9,572342965
20200129;32;58;9;0;87,82611624;21,90302372;78,85995924;4,939320041;25,8539685;9,0603816
20200130;23,1;70;16;3;72,35825216;18,3029351;83,80766549;1,519457519;23,67809553;2,498193105
20200131;25,8;59;4;0;82,69122876;20,70516159;92,15566549;1,899288486;26,51635508;3,624541995
20200201;28,7;51;3;0;87,37061915;23,60906133;100,3256655;3,420612241;29,72851935;7,108134817
20200202;31,6;50;12;0;89,11778081;26,86058583;109,0176655;6,914810563;33,24394416;13,67972373
20200203;31,8;56;12;0;89,16684702;29,73942795;117,7456655;6,963686743;36,45803039;14,44621545
