DIA;TEMP;H.R.;INT VIENTO (km/h);PREC;FFMC;DMC;DC;ISI ;BUI;FWI
20090226;26;69;5;0;84,6709689;12,98799879;339,0919596;2,591561407;23,70601124;4,695665931
20090227;26;80;8;0;84,29865279;14,06587419;346,7759596;2,866114325;25,54170174;5,462513327
20090228;28;69;12;0;85,14816035;15,85988046;354,8199596;3,936759721;28,53148266;7,869605758
20090301;32;64;13;0;86,69051122;17,93621962;362,2839596;5,138833715;31,92146151;10,54473152
20090302;31;52;5;0;88,51658424;20,62103281;369,5679596;4,458010539;36,19330936;10,062675
20090303;21;100;10;0;76,089351;20,62103281;375,0519596;1,353081307;36,2582111;3,113630121
20090304;22;95;11;50;19,3203709;7,521191739;217,031357;0,000174248;13,84306013;0,000126261
20090305;24;82;3;2;37,11148164;6,812880141;223,055357;0,022557792;12,65912677;0,015519739
20090306;26;74;4;0;62,72909325;8,040631549;229,439357;0,583199967;14,78584927;0,439338875
20090307;27;73;5;0;76,70670458;9,362651125;236,003357;1,096690542;17,03571354;0,899839374
20090308;26;71;3;0;81,74376871;10,73206616;242,387357;1,607773998;19,3250211;2,250491332
20090309;24;76;14;0;82,86088261;11,78173611;248,411357;3,211514885;21,06569529;5,404540078
20090310;25;80;11;0;82,90788311;12,69131067;254,615357;2,777583014;22,57010261;4,881417339
20090311;21;100;2;40;9,696087669;4,959608873;156,0855964;1,23581E-06;9,189248435;7,12555E-07
20090312;22;93;13;2;22,96622215;3,975241085;161,7495964;0,000746513;7,490270351;0,000387579
20090313;27;68;11;0;64,78589532;5,542079101;168,3135964;0,910025117;10,24113125;0,556114914
20090314;30;60;14;0;83,81502541;7,709724221;175,4175964;3,635074937;13,89293795;4,733582481
20090315;20;51;6;0;86,26355135;9,511274293;180,7215964;3,400033703;16,81070421;4,968937981
20090316;21;56;11;0;86,47468602;11,20566185;186,2055964;4,506409094;19,48052817;7,113951501
20090317;24;68;6;4;65,54079095;8,446891243;185,852938;0,728760653;15,17010479;0,557450371
20090318;25;40;10;0;87;21;320;7;37;15
20090319;24;64;10;0;87,04836703;22,57450493;326,024;4,648462224;38,48677167;10,79037551
20090320;26;68;0;0;86,88068596;24,08558358;332,408;2,742541422;40,78345841;7,079790517
20090321;28;66;5;0;86,92901359;25,8095933;339,152;3,552512393;43,36832286;9,238806331
20090322;28;64;4;0;86,97735718;27,63501534;345,896;3,401276667;46,06853229;9,231493462
20090323;28;60;5;0;87,02571673;29,66326206;352,64;3,601722725;49,01826593;10,05526216
20090324;27;63;10;0;87,07409225;31,47491852;359,204;4,665519622;51,63800572;12,78876084
20090325;24;73;13;0;85,71711127;32,65579722;365,228;4,480534734;53,37963352;12,62060186
20090326;27;65;3;0;85,88253754;34,3695263;371,792;2,770661714;55,83514697;8,709044256
20090327;27;62;0;0;86,23482433;36,23014644;378,356;2,502914266;58,46439064;8,204730333
20090328;29;50;5;0;88,4137614;38,85257884;385,28;4,392715084;62,05956208;13,53706026
20090329;29;48;13;0;89,14382301;41,57990854;392,204;7,299340287;65,73690412;20,44818359
20090330;31;48;10;0;89,52898387;44,48845615;399,488;6,632084968;69,59971133;19,66270853
20090331;19;100;10;0;76,3064052;44,48845615;404,612;1,372544639;69,79219368;5,281656224
20090401;22;55;12;22;58,98336373;19,18705993;326,4973905;0,701045841;33,45853057;0,891221042
20090402;22;60;5;0;76,58399008;20,56960417;331,1613905;1,087292873;35,60961136;2,288032261
20090403;18;100;5;0;74,26092601;20,56960417;335,1053905;0,948112817;35,66603328;1,846416918
20090404;17;100;3;76;6,918405968;7,031417109;125,9071642;2,61773E-07;12,33998573;1,77488E-07
20090405;21;73;6;1,5;38,14179259;7,924235451;130,3911642;0,032538151;13,75816549;0,023492517
20090406;24,7;61;9;0;71,40594625;9,429772263;135,5411642;1,031491004;16,06533052;0,816684134
20090407;25,3;66;0;0;78,31735399;10,77281524;140,7991642;0,967995196;18,08612066;0,824033556
20090408;23,1;81;10;0;80,5328289;11,46079559;145,6611642;1,99200172;19,15395135;2,986162496
20090409;22,7;66;8;0;83,73450995;12,67156918;150,4511642;2,658344166;20,93506202;4,434989636
20090410;23,7;62;4;0;85,26471613;14,0816446;155,4211642;2,673589136;22,96217634;4,747221226
20090411;25,1;57;8;0;86,64556853;15,76733112;160,6431642;3,969159823;25,32135432;7,386309053
20090412;25;59;2;0;86,69381854;17,36847895;165,8471642;2,953867054;27,52936907;5,903827429
20090413;27,8;46;6;0;88,93543228;19,7035423;171,5551642;4,978892816;30,6162121;10,03333745
20090414;18,9;81;9;0;84,04173927;20,2721211;175,6611642;2,912114554;31,46594781;6,343463826
20090415;19,8;71;8;0;84,08912962;21,17900429;179,9291642;2,786629545;32,7273699;6,23998146
20090416;22,3;62;4;0;85,19157115;22,50947868;184,6471642;2,646692098;34,50354104;6,148932519
20090417;25,4;64;7;0;85,69641787;23,93691072;189,9231642;3,302145465;36,40354572;7,796420943
20090418;17,9;99;6;0;76,71748637;23,96533966;193,8491642;1,154237874;36,6142422;2,557456727
20090419;17,1;77;1;3;53,9601149;19,04640941;193,750946;0,266138838;30,57800202;0,31830874
20090420;16,3;62;7;0;71,76615813;20,03573652;197,388946;0,944576883;31,96104965;1,597149937
20090421;19,5;67;8;0;79,86614197;21,05289407;201,602946;1,678250841;33,38897037;3,754663627
20090422;21,6;76;5;3;62,09870487;16,83526317;202,2391524;0,594031526;27,87039524;0,667720697
20090423;25,3;66;6;0;78,10538478;18,17830615;207,4971524;1,285959483;29,82449;2,448424822
20090424;23,8;73;10;0;82,1286541;19,18424174;212,4851524;2,396381161;31,30299822;5,231412125
20090425;24;80;13;0;82,28095074;19,93536426;217,5091524;2,839929408;32,43810517;6,316695783
20090426;24;73;5;0;83,35392478;20,94937967;222,5331524;2,174285298;33,91647542;5,010420226
20090427;25;65;10;0;85,08237797;22,31621318;227,7371524;3,527287343;35,84997941;8,188085649
20090428;25;60;6;0;86,14335566;23,87830862;232,9411524;3,342949617;38,01461997;8,093344266
20090429;25;51;14;0;87,74058037;25,79187553;238,1451524;6,276946699;40,59290112;14,12217977
20090430;22;64;12;0;87,02173287;27,03616535;242,8091524;5,121796468;42,29792252;12,31051246
20090501;22;64;11;0;86,90002486;28,10719962;246,4731524;4,786568333;43,74341675;11,88323748
20090502;22;62;3;0;86,94835888;29,23773579;250,1371524;3,220852541;45,25205098;8,714260529
20090503;24;66;13;0;86,85710555;30,33684672;254,1611524;5,261805465;46,72952448;13,29437896
20090504;25;64;8;0;86,9054254;31,54697635;258,3651524;4,11830402;48,33838434;11,13987338
20090505;19;52;16;0;86,9537612;32,78956157;261,4891524;6,204993872;49,92743472;15,65629166
20090506;19;46;8;0;87,6886751;34,18746994;264,6131524;4,605155934;51,68194113;12,66359911
20090507;22;38;10;0;89,48359682;36,03202896;268,2771524;6,589039755;53,94935252;17,07785886
20090508;21;51;4;0;89,09851363;37,42671753;271,7611524;4,608303028;55,68217812;13,21697244
20090509;22;55;10;0;88,55959627;38,76551037;275,4251524;5,77059769;57,35095521;15,97814582
20090510;25;57;13;0;88,57437487;40,21094299;279,6291524;6,726377758;59,15538265;18,2167443
20090511;27;67;7;0;87,35186806;41,4052312;284,1931524;4,173115316;60,70102701;12,83878861
20090512;16;100;2;17;14,66010481;17,37099359;238,3903603;1,50988E-05;29,38832657;1,75834E-05
20090513;16;100;1;1,5;11,82371925;17,37099359;240,9743603;3,62189E-06;29,43696852;4,22257E-06
20090514;11,6;85;19;1;32,51569;17,61634235;242,7663603;0,017397842;29,82250845;0,020461065
20090515;13,5;70;2;0;50,63591914;18,18045131;244,9003603;0,19583451;30,66902876;0,234692615
20090516;15;70;16;0;69,80733108;18,80251667;247,3043603;1,392131228;31,59888591;2,868104674
20090517;19;65;10;0;79,65243819;19,70856839;250,4283603;1,816240562;32,93685731;4,057972605
20090518;19;89;8;0;79,69837942;19,9933275;253,5523603;1,649785858;33,40203955;3,683506025
20090519;14,9;100;11;0,05;74,5753469;19,9933275;255,9383603;1,303293481;33,45339548;2,768953624
20090520;24,5;81;13;0,03;79,50790814;20,61977179;260,0523603;2,082266232;34,4171343;4,843111766
20090521;27,3;66;16;0;84,67277096;21,86338734;264,6703603;4,511754391;36,24220607;10,1716493
20090522;25,8;70;16;0;84,79514685;22,90273878;269,0183603;4,587745278;37,76724125;10,55980716
20090523;26,3;66;12;0;85,47171941;24,10256506;273,4563603;4,117179618;39,50103351;9,90378825
20090524;23,4;79;5;0;84,33273757;24,7651999;277,3723603;2,47542212;40,49206218;6,408448056
20090525;20,6;92;2;0;80,36343557;24,98878281;280,7843603;1,307035791;40,88174953;3,302685339
20090526;17,5;48;12;6;64,63154184;16,01172173;269,1677201;0,95100156;27,87762038;1,317046644
20090527;10,2;98;0;0,5;64,8689969;16,04082873;270,7077201;0,524616477;27,94233828;0,590706865
20090528;13,1;76;35;3,5;60,02431535;11,6247976;266,4868926;2,390849124;20,96340964;3,957143872
20090529;10,5;84;5;0;66,26411655;11,86383555;268,0808926;0,711781099;21,36402553;0,672793944
20090530;9,3;100;7;21;9,36049615;4,972085128;211,664033;1,32088E-06;9,392580223;7,70491E-07
20090531;8,7;100;0;12;1,123049588;1,925803604;184,9016672;4,50645E-09;3,753863316;1,72384E-09
20090601;13;69;11;0;32,375756;2,439081392;186,9456672;0,011223524;4,724075182;0,004712027
20090602;10,6;77;19;0;54,5104947;2,75508014;188,5576672;0,694689965;5,315976436;0,306958404
