DIA;TEMP;H.R.;INT VIENTO (km/h);PREC;FFMC;DMC;DC
1;26;66;12;152;73;12;48
2;27;60;14;94;80;26;116
3;28;58;8;82;82;36;194
4;22;61;12;160;78;26;240
5;18;68;12;74;75;9;24
6;15;78;11;91;63;3;15
7;14;68;13;8;78;7;46
8;18;59;16;28;80;25;124
9;19;62;13;87;74;13;39
10;22;56;16;35;82;29;136
11;25;51;16;77;82;48;252
12;26;58;12;154;79;20;111
