DIA;TEMP;H.R.;INT VIENTO (km/h);PREC;FFMC;DMC;DC
1;28;65;6;159;73;14;52
2;28;60;5;88;75;25;169
3;26;58;4;42;83;23;227
4;25;50;5;35;85;57;417
5;19;71;5;126;71;11;145
6;17;61;15;27;81;19;204
7;16;65;9;0;84;24;235
8;19;73;8;332;56;5;89
9;18;61;7;93;71;13;20
10;20;62;12;118;74;10;29
11;24;56;12;124;80;17;43
12;27;52;8;311;78;20;66
