DIA;TEMP;H.R.;INT VIENTO (km/h);PREC;FFMC;DMC;DC
1;28;50;8;56;80;61;397
2;27;58;5;78;78;20;391
3;25;68;7;98;74;20;291
4;22;69;6;105;75;18;199
5;19;72;9;62;69;23;257
6;13;78;9;14;73;7;215
7;13;70;9;32;74;8;225
8;18;66;13;47;74;9;198
9;16;74;9;128;56;4;37
10;21;59;12;106;81;19;43
11;24;78;9;306;50;7;28
12;24;77;9;264;57;6;31
