DIA;TEMP;H.R.;INT VIENTO (km/h);PREC;FFMC;DMC;DC
1;29;60;10;108;80;43;405
2;26;75;9;126;66;9;198
3;25;68;7;53;74;17;252
4;22;69;7;142;67;13;216
5;17;82;7;119;61;7;76
6;13;85;8;56;45;3;17
7;13;78;8;82;62;4;19
8;14;81;9;102;60;2;13
9;19;62;10;10;81;18;57
10;19;79;8;195;50;5;24
11;25;63;9;107;77;16;53
12;26;54;11;36;82;47;177
