DIA;TEMP;H.R.;INT VIENTO (km/h);PREC; FFMC;DMC;DC;ISI ;BUI;FWI
20190101;29,6;80;12;0;82,6;17,4;94,4;2,3;23,8;5,1
20190102;33,8;75;15;13;67,09741142;9,878471405;81,13687883;1,212809941;15,14665375;0,926856867
20190103;20,9;74;7;52;39,42382032;5,050862378;7,466;0,044213566;4,812544696;0,018709394
20190104;24,8;64;10;0;71,4065913;7,081722818;15,634;1,084813169;7,023729744;0,545664845
20190105;28,2;67;21;0;83,48602287;9,187727708;24,414;4,953026362;9,467854415;5,212809317
20190106;30,4;77;12;0;83,9434734;10,76576116;33,59;3,343174742;11,95357362;3,944028915
20190107;26,3;76;28;106;59,13612842;5,462095904;8,438;1,586064986;5,242735321;0,696543423
20190108;29;68;16;0;80,56790214;7,560041824;17,362;2,705399716;7,520361524;2,206236077
20190109;21,2;91;10;26;28,29833266;3,4171801;7,52;0,003524306;3,358335113;0,001292732
20190110;24,9;80;4;40;29,43983037;2,10954042;8,186;0,003609313;2,565956758;0,001206126
20190111;23,9;63;15;0,76;68,2454156;4,12428292;16,192;1,259600975;5,039514514;0,54368962
20190112;24,4;81;12;0;76,9794824;5,17957237;24,288;1,591412536;6,75681108;0,785606636
20190113;21,3;92;7;32;23,74638915;2,230396698;7,538;0,00072193;2,564090421;0,000241191
20190114;26,4;80;2;17;28,50254482;1,62808489;8,456;0,002499094;2,198124315;0,000795672
20190115;24,3;92;15;53;20,86241825;0,521605251;8,078;0,000385721;0,898213882;9,92818E-05
20190116;25,1;80;7;19;34,5004408;1,1413244;8,222;0,015392978;1,694574395;0,004555006
20190117;21,5;90;10;7;28,58044841;0,4922506;7,574;0,003824681;0,846897036;0,000974243
20190118;21,3;80;15;44;36,0373934;0,9757888;7,538;0,032697406;1,47442077;0,009341702
20190119;23,8;64;9;0;68,62663699;2,92823764;15,526;0,942435088;3,979920806;0,36884036
20190120;24;72;10;0;79,27684078;4,45900632;23,55;1,750045888;6,052859775;0,820152103
20190121;28,4;62;5;0;84,91577611;6,90065642;32,366;2,67976215;9,002711171;2,484771917
20190122;30,9;64;15;0;86,50283874;9,40982762;41,632;5,534508857;12,02487943;6,58916568
20190123;20,7;93;16;74;25,15032798;3,894734598;7,43;0,001810904;3,770432965;0,0006939
20190124;29,2;75;10;1,5;60,46007077;5,544645348;16,39;0,696940865;6,008058886;0,325496676
20190125;28,6;78;15;0;77,29914605;6,967815888;25,242;1,89602323;8,245441201;1,189487511
20190126;30,9;80;0;0,25;79,85278322;8,361799888;34,508;1,120012569;10,41458126;0,690736532
20190127;29,5;81;6;0;81,83785229;9,628147228;43,522;1,891257725;12,39892123;1,913055531
20190128;32,4;76;15;0;84,12228284;11,37933963;53,058;3,982579407;14,81516493;5,395947795
20190129;32,9;67;24;28;73,42927584;7,049302731;16,12011278;2,375548927;7,007707174;1,676801549
20190130;27,3;75;6;0;80,50672388;8,595753731;24,73811278;1,623812627;9,199837264;0,936842802
20190131;25,4;88;4;6;43,40945042;5,179054424;25,31953917;0,077963813;6,853459686;0,038751692
20190201;26,8;87;10;1;58,68029287;5,900355914;33,14753917;0,620723899;8,166542538;0,336621682
20190202;27,8;64;12;18;61,02686508;4,356705667;12,94014352;0,796994403;4,731169434;0,334818887
20190203;23,2;59;12;0;79,98293047;6,338047477;20,12014352;2,077866088;7,091421946;1,252078056
20190204;24,1;62;3;0;84,03208962;8,242426597;27,46214352;2,149663161;9,418062461;1,837700217
20190205;25,6;58;9;0;86,33013721;10,47255478;35,07414352;3,992104314;11,99290534;4,777471595
20190206;27,7;57;9;0;87,25469743;12,93536086;43,06414352;4,551960961;14,77536949;6,134546683
20190207;30,1;60;3;0;87,3163743;15,41725846;51,48614352;3,394230828;17,63370975;5,10997859
20190208;31,6;58;12;0;87,84845511;18,14853904;60,17814352;5,763623046;20,69446996;9,142067898
20190209;32;62;15;0;87,89710225;20,6499259;68,94214352;6,75088137;23,61592555;11,19483129
20190210;31,7;69;7;0;87,57905773;22,67203606;77,65214352;4,310780396;26,21161206;8,113584051
20190211;26,3;79;19;13;57,65884851;11,42254022;63,25857502;0,906897043;15,7397855;0,70922191
20190212;21,1;57;15;0;78,97762105;13,32095324;70,06057502;2,187973283;18,05818372;3,204466063
20190213;22,2;56;3;0;84,21174519;15,35976848;77,06057502;2,202003331;20,50290369;3,547887581
20190214;22,6;78;15;0;84,20158365;16,39667666;84,13257502;4,025153128;22,04999343;6,893534305
20190215;25,4;72;6;0;84,3242771;17,87229206;91,70857502;2,600360833;24,03476482;4,756120531
20190216;26,9;53;15;0;87,48209065;20,48942126;99,55457502;6,361727147;27,05718197;11,46912341
20190217;28,8;64;9;0;87,53061684;22,63005794;107,742575;4,734870548;29,67690541;9,449612357
20190218;30;63;5;0;87,57915905;24,91845503;116,146575;3,897648564;32,43834578;8,417183654
20190219;32,9;54;3;0;88,62236976;28,02878183;125,072575;4,092375486;35,92856971;9,322642114
20190220;34;49;10;0;89,78777451;31,5887537;134,196575;6,882851379;39,77232439;14,9957909
20190221;32,6;57;15;0;89,83706192;34,47057887;143,068575;8,917344546;43,02520117;18,96579874
