DIA;TEMP;H.R.;INT VIENTO (km/h);PREC;FFMC;DMC;DC
1;29;45;14;84;86;50;281
2;26;66;13;307;69;13;85
3;24;82;9;178;56;7;148
4;21;79;6;44;74;13;270
5;20;84;8;46;55;15;316
6;15;84;9;20;59;8;276
7;13;69;9;8;76;9;307
8;17;83;10;245;50;8;190
9;19;76;13;145;64;6;20
10;20;87;6;360;35;3;15
11;25;68;7;65;72;14;84
12;27;67;10;321;69;15;62
