DIA;TEMP;H.R.;INT VIENTO (km/h);PREC; FFMC;DMC;DC;ISI ;BUI;FWI
20160101;29;60;8;0;86,5;17,5;44,6;3,9;17,7;5,8
20160102;31,5;60;6;0;87,37441129;20,3402424;53,974;3,980872154;20,94630803;6,619191812
20160103;29,5;60;10;0;87,42290193;23,0062368;62,988;4,903478966;24,0510149;8,644234556
20160104;31,5;67;3;1,5;80,47413996;25,34943678;72,362;1,391102725;27,02807595;2,492957925
20160105;30,5;60;16;25;70,43446108;12,27622036;38,05861865;1,420533741;13,59190205;1,125981306
20160106;25,5;63;12;5;67,6176618;9,374094678;40,16552879;1,06100552;11,8399666;0,702693764
20160107;31;44,5;9;0;87,25334241;13,25448873;49,44952879;4,551081328;15,87267095;6,387641412
20160108;26,5;64;8;0;87,30179308;15,41864889;57,92352879;4,357491568;18,51562465;6,69872482
20160109;29,5;53;16;0;88,31636572;18,55119231;66,93752879;7,53948828;21,91705221;11,77502676
20160110;30;59;3;0;88,36516734;21,32848762;76,04152879;3,944078663;25,07446437;7,301534408
20160111;30;50;10;0;88,96748772;24,71543312;85,14552879;6,118576988;28,64424877;11,45919488
20160112;31;59;3;0;89,01650431;27,58203053;94,42952879;4,330601799;31,88254052;9,126093949
20160113;29,5;56;2;3;74,94670132;24,31541807;100,4139996;0,844703652;30,29242974;1,044897248
20160114;29;42;3;0;87,33701916;28,11794505;109,3379996;3,404245846;34,22937014;7,714741483
20160115;31;40;0;0;90,10912761;32,31296565;118,6219996;4,354785705;38,44477189;10,21708701
20160116;32;46;2;0;90,15852111;36,20610159;128,0859996;4,850623104;42,42880257;11,80573154
20160117;32;40;3;0;91,06608238;40,53180819;137,5499996;5,807228;46,67750672;14,34679249
20160118;33;40;5;0;91,35000873;44,98820079;147,1939996;6,68764872;51,00422407;16,75729991
20160119;32;56;2;0;90,1631922;48,16038563;156,6579996;4,853867759;54,46284483;13,59499256
20160120;33;57;15;0;89,93578112;51,35413366;166,3019996;9,044399381;57,96173869;22,32957867
20160121;34;42,5;9;0;90,9895209;55,75008399;176,1259996;7,77159979;62,24406737;20,78869339
20160122;34,5;46;15;0;91,03920507;59,93726343;186,0399996;10,58920319;66,39647267;26,71632958
20160123;35;49;9;0;91,08890564;63,94736334;196,0439996;7,882410598;70,44709088;22,40228376
20160124;35,5;42,5;27;0;91,33380945;68,53117479;206,1379996;20,21287185;74,85114769;43,46969228
20160125;26;60;18;4;76,14947399;50,65919423;207,8222494;2,032640535;62,95392891;7,145794077
20160126;30;39;5;0;88,79880449;54,79126774;216,9262494;4,642313489;67,16878107;14,77510488
20160127;27;45;6;0;89,33368058;58,15752129;225,4902494;5,271817238;70,71727073;16,74322816
20160128;29,5;45;6;0;89,78787237;61,82326359;234,5042494;5,626722029;74,52695358;18,0861374
20160129;28;60,5;0;0;88,85438587;64,32688063;243,2482494;3,637483846;77,44983426;13,26127854
20160130;30;48;6;0;89,32827716;67,84930395;252,3522494;5,267730629;81,15127109;18,03740591
