DIA;TEMP;H.R.;INT VIENTO (km/h);PREC; FFMC;DMC;DC;ISI ;BUI;FWI
20120101;26,5;48;13;0;88,8;49,4;252,3;7;66,33113358;19,93264796
20120102;29,4;39;5;0;90,64426676;53,45235505;261,296;6,047852782;70,73150501;18,54099608
20120103;28,5;49;9;0;90,56375323;56,74041481;270,13;7,313507244;74,40773664;21,85617925
20120104;27;37;13;0;90,88941207;60,59630524;278,694;9,371992976;78,51429498;26,73750595
20120105;30,4;29;9;0;92,89963951;65,46762589;287,87;10,18202211;83,47523808;29,18045303
20120106;33,2;30;14;0;93,35651121;70,69724399;297,55;13,96330331;88,70449309;37,11324142
20120107;30;49;11;0;91,12078038;74,1519284;306,654;8,757692266;92,4285465;27,7159268
20120108;30,4;43;24;0;91,17050788;78,06270695;315,83;16,97855634;96,49778159;43,80463976
20120109;35,8;36;27;0;92,58848258;83,20650791;325,978;24,13755427;101,5871989;55,87323446
20120110;38;32;40;0;93,79186007;88,99764019;336,522;54,97755245;107,1513463;93,29086552
20120111;25,2;86;9;0;83,69685248;89,79961661;344,762;2,781847974;108,770821;13,0048925
20120112;26,3;56;14;23;66,13411912;42,56995903;277,7339404;1,114862314;61,55330189;3,850379441
20120113;24,9;47;9;0;84,05569939;45,57138083;285,9199404;2,917549454;65,17353445;10,01047226
20120114;25,4;41;0;0;87,95528076;48,97684018;294,1959404;3,197300858;69,16693217;11,19096046
20120115;28,8;37;5;0;90,74939917;53,07972715;303,0839404;6,1393086;73,83309274;19,18430204
20120116;30,8;34;7;0;92,01285149;57,66549889;312,3319404;8,125399834;78,90886005;24,2766647
20120117;32,2;31;14;0;92,94235729;62,67011926;321,8319404;13,17751325;84,30069375;34,85139306
20120118;30,3;44;14;0;91,88526396;66,5000903;330,9899404;11,35441078;88,53211154;32,34041564
20120119;33,4;37;13;0;92,01591194;71,23419065;340,7059404;10,99793609;93,56327464;32,52345687
