DIA;TEMP;H.R.;INT VIENTO (km/h);PREC; FFMC;DMC;DC;ISI ;BUI;FWI
20140101;35;44;0;1;81,9;47,7;276,3;1,4;66,7;5,2
20140102;25;70;35;1;82,55738816;49,4054523;284,504;8,903623843;68,89922269;24,13369768
20140103;29;24;24;0;93,19933627;54,38807386;293,428;22,60747202;74,33186402;46,52512396
20140104;28;34;10;0;93,19413687;58,57133272;302,172;11,15885852;78,90594588;30,19284781
20140105;35;34;0;0;93,24454889;63,76087378;312,176;6,79018988;84,41702856;22,14966504
20140106;30;37;14;0;93,01031156;68,02842511;321,28;13,30356962;88,96357035;36,00476132
20140107;37;38;15;0;93,0606629;73,17353293;331,644;14,08996013;94,32028211;38,43783735
20140108;28;50;5;8;69,86980536;43,97557187;316,8722354;0,801435689;65,29650066;2,721415733
20140109;30;50;15;0;86,75727416;47,36251737;325,9762354;5,73769591;69,48542802;17,66348597
20140110;27;54;10;11;68,44673302;26,26270633;301,0310321;0,985457853;43,12054907;2,404879603
20140111;26;51;16;2;80,26257529;26,30912804;309,4150321;2,617679951;43,39394066;7,059463777
20140112;21;63;15;0;84,07809403;28,09016041;316,8990321;3,959101317;45,98906132;10,47648788
20140113;30;44;2;0;88,95523214;31,88353937;326,0030321;4,081767442;51,23897528;11,43929955
20140114;31;40;3;0;90,72543108;36,07855997;335,2870321;5,531899431;56,86084291;15,40155076
20140115;33;40;8;0;91,32291796;40,53495257;344,9310321;7,74890266;62,66077815;20,8175273
20140116;35;36;0;0;92,28183802;45,56723481;354,9350321;5,9317539;68,99136335;18,03374245
20140117;36;29;22;0;94,01748617;51,30456802;365,1190321;22,90567728;75,93439966;47,38067907
20140118;36;39;18;0;93,67381352;56,23382613;375,3030321;17,85275682;81,81908446;41,85863678
20140119;36;37;18;0;93,72438391;61,32469926;385,4870321;17,97872656;87,75029632;43,47559475
20140120;30;37;14;0;93,07917931;65,59225059;394,5910321;13,43246073;92,67249228;36,94933622
20140121;36;39;18;1;91,54575565;70,5215087;404,7750321;13,23686286;98,24948272;37,61093412
20140122;37;39;15;0;92,2307972;75,58363091;415,1390321;12,53869211;103,8828458;37,23135631
20140123;39;32;20;0;93,94174116;81,52287399;425,8630321;20,49387118;110,272258;52,23673316
20140124;26;68;14;19;61,33435914;38,93845165;359,0158617;0,896985441;61,26505736;2,963845289
20140125;24;38;15;0;85,36732837;42,32801087;367,0398617;4,72003037;65,71108111;14,78157935
20140126;26;43;2;0;88,62674449;45,69252194;375,4238617;3,893753273;70,06589212;13,20202253
20140127;22;83;0;10;31,58051274;24,1508107;349,1901719;0,005258866;41,18115791;0,00771612
20140128;29;60;16;15;64,98843899;13,06169292;308,6193838;1,180336872;23,62381051;1,667879722
20140129;24;77;4;7;46,83240512;8,219725575;297,7642816;0,132099626;15,37817244;0,101873851
20140130;22;76;0;88;19,00136203;4,276724068;83,05832484;8,82087E-05;7,577963208;4,6063E-05
20140131;31;51;6;3;67,81024085;5,812987002;89,39739475;0,789200346;10,00031911;0,476093293
20140201;26;60;10;8;64,3071132;4,714938292;84,07691893;0,848224063;8,270391182;0,462979551
20140202;24;80;20;24;48,82307252;2,651155332;48,48732091;0,387659325;4,664680444;0,16188505
20140203;20;80;5;13;33,42399499;1,516960641;34,4765902;0,01076082;2,733264081;0,003671644
