DIA;TEMP;H.R.;INT VIENTO (km/h);PREC;FFMC;DMC;DC
1;27;67;11;192;73;15;54
2;27;69;7;371;66;13;73
3;25;67;8;139;80;22;193
4;21;68;12;171;73;17;258
5;18;78;10;270;61;5;26
6;16;77;10;10;75;5;48
7;17;72;13;40;73;8;90
8;18;72;14;201;66;5;28
9;19;76;13;154;64;5;17
10;21;64;13;195;73;11;31
11;24;51;13;85;82;25;70
12;29;50;11;43;86;45;218
