DIA;TEMP;H.R.;INT VIENTO (km/h);PREC;FFMC;DMC;DC
1;27;59;12;146;80;29;177
2;26;64;10;89;76;17;60
3;24;71;9;160;69;19;77
4;23;71;10;239;74;9;44
5;17;69;11;86;73;9;45
6;14;79;11;87;70;5;20
7;15;71;13;56;73;6;20
8;18;65;13;14;81;15;55
9;19;74;13;119;69;10;27
10;22;58;10;91;77;17;38
11;25;55;12;62;80;34;128
12;30;45;12;9;89;57;277
