DIA;TEMP;H.R.;INT VIENTO (km/h);PREC;FFMC;DMC;DC
1;30;57;11;154;76;36;318
2;27;60;13;126;76;31;272
3;22;68;13;188;67;8;55
4;21;69;11;227;69;8;89
5;16;74;11;34;75;10;50
6;12;76;9;24;73;7;73
7;16;78;11;44;67;3;78
8;16;71;13;101;71;6;27
9;18;63;14;63;75;11;29
10;21;59;16;64;80;29;100
11;27;48;15;28;86;35;162
12;28;49;11;89;83;38;228
