DIA;TEMP;H.R.;INT VIENTO (km/h);PREC;FFMC;DMC;DC
1;30;51;7;38;86;39;135
2;28;55;6;431;74;30;95
3;24;60;11;181;79;15;58
4;21;76;12;487;46;2;12
5;15;75;9;23;78;9;51
6;13;73;8;60;71;14;88
7;14;79;9;106;59;2;15
8;17;66;8;41;76;9;38
9;17;65;14;54;72;10;29
10;21;66;15;137;70;15;57
11;25;53;11;152;81;26;74
12;28;55;13;159;79;25;72
