DIA;TEMP;H.R.;INT VIENTO (km/h);PREC;FFMC;DMC;DC
1;31;44;12;72;86;64;326
2;28;58;11;142;76;19;213
3;28;67;8;170;70;22;164
4;21;71;9;92;73;8;35
5;19;74;8;127;68;6;37
6;16;78;7;45;72;6;38
7;15;78;12;94;70;4;21
8;18;64;15;10;82;17;83
9;17;73;12;102;66;9;48
