DIA;TEMP;H.R.;INT VIENTO (km/h);PREC;FFMC;DMC;DC
1;26;76;11;519;60;5;24
2;26;63;10;87;77;17;78
3;24;70;12;152;78;21;204
4;22;72;10;95;74;17;269
5;17;83;9;97;59;2;91
6;17;80;12;180;65;3;53
7;14;75;11;44;73;9;51
8;15;71;15;159;68;5;19
9;18;58;13;80;80;14;28
10;21;69;15;294;65;9;17
11;26;60;11;100;76;18;67
12;26;56;13;175;80;23;80
