DIA;TEMP;H.R.;INT VIENTO (km/h);PREC; FFMC;DMC;DC;ISI ;BUI;FWI
20210228;29;63;21;0;88,20258124;42,15643394;135,4299082;9,542299691;47,41481967;20,93569778
20210301;28;67;21;0;87,38190329;43,82973748;142,1739082;8,484750997;49,50536916;19,66272851
20210302;31;59;4;0;87,60050578;46,12301541;149,4579082;3,717478547;52,07212262;10,69838762
20210303;29;73;12;0;86,4315707;47,53912891;156,3819082;4,710456869;54,02221395;13,21868355
20210304;24;87;0;0;83,02817654;48,10770013;162,4059082;1,620548022;55,27882091;5,264219708
20210305;24;84;12;56;39,7431735;16,80301189;53,18169953;0,06050998;18,77550089;0,052721713
20210306;23;65;6;0;67,5932619;18,27279377;59,02569953;0,783590362;20,6014381;0,723748712
20210307;26;63;9;0;81,54426904;20,01997847;65,40969953;2,124421845;22,68326337;3,667003026
20210308;29;57;7;0;86,52108767;22,27527033;72,33369953;3,708193893;25,17152177;6,917732291
20210309;28;57;2;0;87,25097924;24,45563555;79,07769953;3,197495394;27,58436307;6,374897255
20210310;29;62;7;0;87,29942913;26,44868418;86,00169953;4,142002109;29,90508548;8,46052804
20210311;29;55;12;0;87,915766;28,80887334;92,92569953;5,819453472;32,45976439;11,77926371
20210312;29;54;15;0;88,15579552;31,22151115;99,84969953;7,005852332;35,04662812;14,21255877
20210313;30;63;5;0;88,20454413;33,22658288;106,9536995;4,262841678;37,40346312;9,878395
20210314;28;51;5;0;88,48482052;35,71118511;113,6976995;4,437735317;40,00755114;10,61888032
20210315;27;52;15;0;88,53367776;38,06144214;120,2616995;7,396121917;42,49775772;16,4032918
20210316;20;91;2;5;41,14036511;25,0477;117,9803424;0,047500967;32,72583491;0,059483316
20210317;20;90;15;10;29,11674297;12,64184076;105,1172015;0,005735589;19,43910759;0,005107084
20210318;20;67;7;0;59,0836143;13,85512959;110,4212015;0,548663334;21,09348317;0,514416865
20210319;23;72;15;0;76,47805859;15,03095509;116,2652015;1,786361268;22,71902769;2,984122553
20210320;19;92;12;10,5;31,73660325;7,529647026;102,2552425;0,010023689;12,71803687;0,006914696
20210321;23;75;9;45;38,27032702;3,907898037;25,52813277;0,038854163;5,652540378;0,01764674
20210322;24;75;3;0;60,39526508;5,001304237;31,55213277;0,487903676;7,163791003;0,247797718
20210323;25;77;16;0;76,3121108;6,047314981;37,75613277;1,85767908;8,636434267;1,203416281
20210324;24;80;15;0;80,38243572;6,922039941;43,78013277;2,521226857;9,922130592;2,453129013
20210325;26;84;3;0;80,95603065;7,677579269;50,16413277;1,467297018;11,10581782;0,937543772
20210326;21;92;4;32;22,16749834;3,291963336;5,484;0,000357589;3,106998601;0,000127527
20210327;18;87;15;0;43,4386821;3,72462112;10,428;0,136356181;3,935281557;0,053128621
20210328;20;81;9;0;61,84720645;4,423181352;15,732;0,717068868;5,194894373;0,313644036
20210329;21;86;9;1,5;61,74866496;4,962304664;21,216;0,713288049;6,262625785;0,339634492
20210330;23;67;9;0;77,56594657;6,348099008;27,06;1,430899498;8,002728569;0,768020151
20210331;22;65;12;0;83,10928728;7,756894088;32,724;2,997363178;9,741171866;3,040228935
20210401;24;63;9;0;85,13834552;9,14647075;37,748;3,379960311;11,39208666;3,873837619
20210402;23;75;9;0;84,96925761;10,0479674;42,592;3,302200062;12,6407001;4,029984224
20210403;24;71;12;0;85,01695419;11,13709505;47,616;3,866247341;14,05546752;5,077380018
20210404;26;69;7;0;85,06466651;12,39410308;53;3,0251174;15,64292309;4,198734689
20210405;27;74;0;0;85,11239459;13,48727064;58,564;2,140127575;17,11854979;2,994332148
20210406;29;67;3;0;85,68111106;14,97350569;64,488;2,693699223;18,94809107;4,205410166
20210407;29;64;12;0;86,31426077;16,59485303;70,412;4,633062019;20,88446558;7,590408774
20210408;29;64;16;0;86,4242228;18,21620037;76,336;5,756135927;22,81903174;9,629947158
20210409;20;91;12;15;32,63736894;8,344810339;54,85397651;0,012606777;12,09113044;0,008449164
20210410;22;100;0;154;0;3,081156683;4,664;1,90535E-09;2,854258959;6,5971E-10
20210411;17;85;20;54;27,96226468;1,207221564;3,764;0,005285737;1,340001724;0,001476431
20210412;22;61;0;0;50,44297878;2,555202198;8,428;0,173065096;2,907024316;0,060300043
20210413;23;57;12;0;77,08541015;4,105776436;13,272;1,603933986;4,63042519;0,667721792
20210414;24;65;21;0;83,85062729;5,420240846;18,296;5,196615933;6,227899991;4,411168927
20210415;26;67;0;0;84,67244334;6,758346164;23,68;2,014883626;7,888316641;1,331554116
20210416;22;90;9;0;80,9904401;7,103982224;28,344;1,992893787;8,734837161;1,470008504
20210417;25;76;9;0;82,67258502;8,041239488;33,548;2,437643867;10,0563645;2,363024419
20210418;24;75;19;0;83,31889003;8,980142638;38,572;4,38184384;11,35262816;5,09135615
20210419;23;72;7;0;83,77431643;9,989818886;43,416;2,541063805;12,68356504;2,970816828
20210420;24;68;15;0;84,65803487;11,19161492;48,44;4,281479876;14,18813546;5,65022102
20210421;25;67;19;0;85,14660712;12,48034366;53,644;5,600207671;15,78164103;7,70062905
20210422;24;74;9;0;85,19436225;13,45680293;58,668;3,406195925;17,10505149;5,032098629
20210423;25;68;16;0;85,24213314;14,70647928;63,872;4,87859954;18,66750919;7,46221939
20210424;20;83;24;16;47,5322506;6,990394104;41,36037647;0,399103633;9,828117284;0,238517652
20210425;18;69;15;0;70,16490005;7,87632965;45,30437647;1,338989214;10,98026317;0,850178746
20210426;20;67;7;0;79,23050115;8,918175488;49,60837647;1,49783226;12,30577838;1,104601965
20210427;20;64;0;0;81,87725783;10,05473458;53,91237647;1,404518624;13,71486486;1,095502224
20210428;21;66;0;0;83,23374802;11,17902435;58,39637647;1,663993115;15,12125887;1,874582851
20210429;21;64;12;0;83,3;12,3694488;62,88037647;3,072092713;16,58342097;4,433326479
20210430;21;68;15;0;84,14222508;13,42760388;67,36437647;3,99323231;17,92354734;6,053820625
20210501;24;62;12;0;85,58178995;14,65602197;71,38837647;4,18072637;19,37026393;6,616737674
20210502;25;65;8;0;85,62968876;15,83253689;75,59237647;3,440583582;20,78285051;5,734185922
20210503;27;75;14;0;85,57735078;16,73730069;80,15637647;4,621071496;21,9935322;7,799600251
