DIA;TEMP;H.R.;INT VIENTO (km/h);PREC; FFMC;DMC;DC;ISI ;BUI;FWI
20150101;20;88;8;0;81,7;18;50,3;2,1;19;3,1
20150102;23;50;8;1,3;82,24659605;20,6246105;58,144;2,198226985;21,86211386;3,711028128
20150103;27;42;6;0;88,6308551;24,17447788;66,708;4,765886552;25,36696346;8,691768991
20150104;30;48;4;0;89,27954191;27,6969012;75,812;4,729620833;28,95133966;9,308685574
20150105;31;47;15;0;89,71271306;31,40250273;85,096;8,759782408;32,66736565;16,2499233
20150106;35;56;10;0;89,76197569;34,86219677;95,1;6,857441293;36,38183824;14,25976899
20150107;26;78;2;35;38,33014675;12,40440244;39,52014757;0,027641927;13,90091582;0,020078445
20150108;29;73;3;0;65,13690694;14,17454431;48,44414757;0,616785156;16,37266463;0,493978705
20150109;30;73;5;0;78,7648218;16,00349488;57,54814757;1,296168911;18,88070713;1,511398959
20150110;31;72;9;6;66,41857723;11,12169658;58,48663441;0,875521615;15,0762313;0,667234588
20150111;25;83;3;32;31,50897385;5,408653156;12,85939753;0,006004027;5,385338517;0,002668272
20150112;31;61;8;0;73,77582053;8,135416546;22,14339753;1,077585192;8,481051822;0,595830562
20150113;21;95;0;42;11,51475768;3,370021016;7,484;2,93965E-06;3,315369056;1,0732E-06
20150114;26;79;5;10;34,57128595;2,348763449;8,384;0,014150281;2,762648566;0,004845505
20150115;26;77;5;0;60,4131224;3,706373179;16,768;0,540211669;4,77442003;0,227822546
20150116;30;67;9;0;80,2438179;5,941757209;25,872;1,836077585;7,549165595;0,956989505
20150117;31;70;7;0;84,43523498;8,039267509;35,156;2,776010999;10,23012362;2,853123878
20150118;31;62;9;0;86,68419818;10,69611389;44,44;4,197171789;13,35581343;5,350753255
20150119;32;68;8;15,5;64,34630795;6,971099061;29,17742997;0,768200404;8,728590472;0,431146259
20150120;24;73;9;12,19;50,4469614;4,443262234;18,89231084;0,272479037;5,596145744;0,123194685
20150121;26;62;8;0;76,22675698;6,686269614;27,27631084;1,234435246;8,291363477;0,674657758
20150122;26;64;6;0;83,31109111;8,811223974;35,66031084;2,273948169;10,89339087;2,276477749
20150123;27;69;5;0;84,65910009;10,70856688;44,22431084;2,587374855;13,34105596;3,150143289
20150124;30;64;7;0;86,21736615;13,14716764;53,32831084;3,552514209;16,2679097;5,090985434
20150125;32;55;8;0;88,19997002;16,39144759;62,79231084;4,955113436;19,83709453;7,829019668
20150126;33;52;5;0;89,06539812;19,95656167;72,43631084;4,823432065;23,63454111;8,437761702
20150127;34;53;7;0;89,18314716;23,54977324;82,26031084;5,425710488;27,45194575;10,1426686
20150128;25;84;10;0;83,71443949;24,4593478;90,46431084;2,932380993;29,1888256;6,086261942
20150129;27;53;5;5,6;69,40753486;17,70327736;90,77689807;0,789744154;23,80194047;0,800252135
20150130;25;54;4;0;82,49709033;20,31830422;98,98089807;1,853634056;26,85497216;3,558510989
20150131;27;50;12;0;87,6281025;23,37853472;107,5448981;5,584707536;30,29367346;10,96807487
20150201;29;55;4;0;87,9400334;26,07222887;115,7688981;3,902598512;33,3612826;8,567685895
20150202;30;64;2;0;87,98871078;28,29877739;124,1728981;3,553228814;36,05524376;8,269380942
20150203;28;65;3;0;87,73277127;30,32426834;132,2168981;3,602348957;38,54662838;8,712099194
20150204;30;64;4;0;87,78138022;32,55081686;140,6208981;3,814933559;41,23754567;9,52538522
20150205;31;63;9;0;87,83000522;34,91279585;149,2048981;4,942071113;44,05453678;12,24049669
20150206;30;57;0;3,3;67,83097923;29,05909117;153,4317032;0,583718176;39,44264925;0,831098664
20150207;31;49;5;0;85,64171694;32,31479194;162,0157032;2,962929846;43,1255839;7,862475461
20150208;31;52;9;0;88,44403524;35,3789809;170,5997032;5,396828618;46,59880268;13,53983912
20150209;30;53;4;0;88,51756722;38,28586369;179,0037032;4,239577724;49,89336221;11,6160754
20150210;20;94;4;17;23,72190364;15,94451624;147,9008239;0,000615515;25,11909385;0,000646
20150211;28;42;9;0;75,42355606;19,3010441;155,9448239;1,234812732;29,48027173;2,284685911
20150212;30;48;10;0;87,51519366;22,51716974;164,3488239;4,968560373;33,54460698;10,54490075
20150213;27;44;5;0;89,23878592;25,64658806;172,2128239;4,944991568;37,37726523;11,1640424
20150214;29;60;9;0;88,78808654;28,04098286;180,4368239;5,670028678;40,3898811;13,00741627
20150215;28;56;9;0;88,8370439;30,58731434;188,4808239;5,710020034;43,51871356;13,62656345
20150216;29;50;3;0;88,88601743;33,58030784;196,7048239;4,250230985;47,07127663;11,25560371
20150217;30;46;5;0;89,63360729;36,92013062;205,1088239;5,23321959;50,92408594;13,88550788
20150218;30;57;0;0;89,48261867;39,57961913;213,5128239;3,980738219;54,09143971;11,56734971
20150219;20;86;9;12;39,63234649;19,04877689;191,9590589;0,050921347;30,52483517;0,060831856
20150220;24;53;2;0;69,07134851;21,39484628;199,2830589;0,671774292;33,73523334;0,858819912
20150221;27;50;5;0;84,19117544;24,18896978;207,1470589;2,428723264;37,44625679;5,977057769
20150222;29;69;9;0;85,23664244;26,04462575;215,3710589;3,426156193;39,9971917;8,52910015
20150223;31;56;9;0;87,7524271;28,85346563;223,9550589;4,887491205;43,64826549;12,06910692
20150224;32;56;8;0;88,25870708;31,74980831;232,7190589;4,99703034;47,34980782;12,85886652
20150225;21;95;0;33,3;14,6057539;10,52788584;155,9863354;1,33125E-05;18,01592796;1,13054E-05
20150226;23;92;4;23,3;13,53891417;4,719983535;113,7721625;9,84504E-06;8,552897379;5,46742E-06
20150227;29;60;6;0;62,22321851;7,114378335;121,9961625;0,628776471;12,41828251;0,427866196
20150228;27;63;8;0;80,2165791;9,182029725;129,8601625;1,740822381;15,60551025;2,080375169
