DIA;TEMP;H.R.;INT VIENTO (km/h);PREC; FFMC;DMC;DC;ISI ;BUI;FWI
20180101;24;80;13;4;63,7;44,2;297;1;64,5;3,4
20180102;29;44;12;0;86,36198472;47,87140536;305,924;4,664377531;68,82013782;15,03239834
20180103;33;29;15;0;93,12626447;53,14480327;315,568;14,21990101;74,7978457;34,5771157
20180104;35;30;22;0;93,67460175;58,64886197;325,572;21,84097001;80,87532253;47,33052717
20180105;33,9;42;24;0;92,78769844;63,07040497;335,378;21,34077408;85,80165964;47,96201323
20180106;26,3;51;12;7,36;72,8371052;38,70194814;322,3717087;1,265790896;59,53529924;4,309317821
20180107;28,9;37;7;0;88,56101554;42,81855714;331,2777087;4,962151226;64,72303689;15,22922357
20180108;31,1;30;21;0;92,76158164;47,72799454;340,5797087;18,28010133;70,69013809;39,66006035
20180109;31,5;42;3;0;92,40769089;51,84634602;349,9537087;7,023070547;75,66710677;21,4210876
20180110;35;42;12;0;92,45784327;56,4068518;359,9577087;11,13044745;81,05828708;30,53497486
20180111;36,5;40;5;0;92,5080122;61,3206454;370,2317087;7,878103547;86,72933073;24,94337066
20180112;35;49;12;0;91,72992932;65,33074531;380,2357087;10,04270231;91,40100339;30,25234752
20180113;24,4;88;12;52;35,92100555;23,69424716;217,3468191;0,027393591;37,2393078;0,037479722
20180114;22,8;88;21;3;46,31286805;18,82181122;221,0410358;0,288619341;31,03663924;0,348679244
20180115;26,4;67;21;0,5;77,15746942;20,79843697;229,4970358;2,537744171;33,91329419;5,839393961
20180116;29;60;8;0;85,2047864;23,42086937;238,4210358;3,243510144;37,60627398;7,827834303
20180117;31;61;3;0;86,82711543;26,14763276;247,7050358;3,165825439;41,37614669;8,125616168
20180118;28,4;55;21;0;87,79567481;29,03906051;256,5210358;9,001844534;45,26713416;19,60138403
20180119;32,7;36;9;0;91,72262991;33,75072643;266,1110358;8,625058291;51,25108173;20,25765557
20180120;30,9;54;8;0;90,2860225;36,95688963;275,3770358;6,683452057;55,34491231;17,49724913
20180121;30,9;45;0;0;90,3354744;40,79034563;284,6430358;4,498162829;60,06270162;13,53692045
20180122;32,1;50;7;0;90,38494264;44,40599163;294,1250358;6,445641093;64,47604976;18,48597855
20180123;34,9;40;15;0;91,6349404;49,11068763;304,1110358;11,52500608;69,97203323;29,06384711
20180124;27,9;68;12;0;87,58182933;51,13196443;312,8370358;5,547876361;72,59891989;17,6444932
20180125;24,9;53;21;0;87,67223873;53,79360263;321,0230358;8,844228648;75,82313342;25,23180736
20180126;29,1;50;21;0;88,78731007;57,08253363;329,9650358;10,37752807;79,69697957;28,88746363
20180127;23,3;88;12;1,6;72,20439968;55,41197846;337,8630358;1,234905274;78,59754435;5,186551493
20180128;29,8;61;12;10;69,01672556;31,12766679;315,9570163;1,109863362;49,95225787;3,215859444
20180129;28,8;29;14;0;90,36747952;35,75155528;324,8450163;9,148287376;56,07457432;22,13263012
20180130;29,9;39;15;0;90,98282995;39,87034238;333,9310163;10,5044875;61,41020728;25,54379194
20180131;30,9;48;18;0;91,0325119;43,49470078;343,1970163;12,30519371;66,05946527;29,52876926
20180201;33,1;43;12;0;91,08221026;47,37147256;352,1590163;9,159762834;70,8998185;24,98069835
20180202;34,2;29;16;0;93,63165405;52,35575137;361,3190163;16,04718046;76,86633867;37,93118513
20180203;31,6;50;12;0;91,18241225;55,60727587;370,0110163;9,291364139;80,8413522;26,96445123
20180204;30,8;53;13;0;90,33636595;58,58893378;378,5590163;8,660189282;84,48778957;26,27924747
20180205;31,8;45;9;0;90,38583448;62,18748643;387,2870163;7,129860291;88,74860139;23,53803414
20180206;33,2;38;10;0;91,68479763;66,41665585;396,2670163;9,022206681;93,60954974;28,46351928
20180207;35,7;39;16;0;92,02021275;70,88088961;405,6970163;12,80013431;98,66599041;36,86672794
20180208;33,4;52;14;0;90,95028578;74,17417681;414,7130163;9,942159704;102,5112909;31,74005828
20180209;22,9;86;19;4;60,40018014;52,71279926;410,617484;1,092797567;79,81127461;4,62970863
20180210;21,9;90;6;4,5;39,46533646;36,53913778;404,2429013;0,04238266;59,6084055;0,080917845
20180211;19,3;87;6;49,25;20,836967;11,65541747;239,1802317;0,000242779;20,77935431;0,000225465
20180212;21,6;52;15;0;66,73811152;13,82230499;246,0722317;1,197920861;24,24052843;1,767763593
20180213;25,6;35;4;0;85,83516426;17,27369384;253,6842317;2,894554543;29,52192131;6,055039949
20180214;27,2;47;21;0;88,76638127;20,25654497;261,5842317;10,3463956;33,94207812;18,74994713
20180215;29;52;13;0;88,81533147;23,12981873;269,8082317;6,963104747;38,095184;14,78661482
20180216;28,8;57;12;0;88,86429783;25,68669032;277,9962317;6,667701406;41,73309606;15,01677845
20180217;31,2;50;10;0;89,21129065;28,89844082;286,6162317;6,33651317;46,16122357;15,24808892
20180218;32,1;57;21;0;89,26038773;31,73750894;295,3982317;11,10678124;50,035512;23,9608618
20180219;31,6;54;3;0;89,30950102;34,72891148;304,0902317;4,51662444;54,03113207;12,78903033
20180220;28,7;62;18;9;72,37664023;19,75018665;286,973697;1,681721702;33,70178786;3,790565504
20180221;26,5;50;14;0;85,93197316;22,49459265;294,747697;4,855907403;37,78078775;11,06647774
20180222;26,3;45;12;0;88,83034688;25,49156355;302,485697;6,635281506;42,11100947;15,03330372
20180223;28,4;40;12;0;90,39623678;29,01156255;310,601697;8,305510163;47,03900175;18,85272335
20180224;28,7;42;9;0;90,44572507;32,44883163;318,771697;7,191177442;51,73258372;17,82199454
20180225;29,3;51;9;0;90,35141196;35,41119915;327,049697;7,094846427;55,73553199;18,35605597
20180226;29,6;30,2;14;0;92,52498516;39,67270483;335,381697;12,42730318;61,23616146;28,63306341
20180227;27,2;63;7,5;11;63,34224083;21,19057739;309,0084447;0,716393263;36,17867803;0,96082815
20180228;29,7;51;8;0;84,43756618;24,19192343;317,3584447;2,920370212;40,63914189;7,478177672
