DIA;TEMP;H.R.;INT VIENTO (km/h);PREC; FFMC;DMC;DC;ISI ;BUI;FWI
20230101;30;49;15;0;91,2;50,2;271,4;10,9;68,7;27,6
20230102;26;54;28;8;76,26771107;30,59322617;259,4741694;3,390330838;47,25691919;9,348624206
20230103;31;32;0;0;88,65286349;35,34758285;268,7581694;3,533760752;53,20207262;10,39085017
20230104;29;31;24;0;92,20389798;39,87127874;277,6821694;19,65718698;58,67888717;38,06735009
20230105;32;30;6;0;93,08451404;44,91793644;287,1461694;8,983421523;64,58031623;23,49144092
20230106;35;35;7;0;93,13488987;50,02884809;297,1501694;9,514424357;70,41826569;25,56038358
20230107;32;40;4;0;92,83863909;54,35455469;306,6141694;7,84728887;75,32590144;23,12437565
20230108;32;42;16;0;92,44146662;58,53607107;316,0781694;13,58407457;80,02266478;34,65353426
20230109;33;40;15;0;92,49163014;62,99246367;325,7221694;13,00821773;84,92508519;34,68073392
20230110;34;30;7;0;93,4439811;68,34405537;335,5461694;9,934103591;90,56990652;29,89578161
20230111;34;36;18;0;93,4944756;73,23693921;345,3701694;17,41256061;95,72619918;44,35314667
20230112;30;49;16;0;91,07892502;76,69162362;354,4741694;11,19953682;99,54243463;33,89868702
20230113;28;33;15;0;91,80839623;80,93826519;363,2181694;11,81184755;103,9608505;35,81372915
20230114;31;30;9;0;92,89874118;85,83245589;372,5021694;10,18073972;108,9207461;33,13647645
20230115;34;25;0;0;94,29208577;91,56630414;382,3261694;7,853911595;114,5477514;28,43449934
20230116;36;29;24;0;94,34286028;97,30363735;392,5101694;26,49994457;120,1463154;63,21632148
20230117;37;28;16;0;94,45042906;103,2786013;402,8741694;17,97428708;125,8814902;50,60578372
20230118;32;55;7;0;90,59672356;106,5228812;412,3381694;6,643726157;129,4444834;26,62500729
20230119;34;52;19;0;90,64627804;110,1925441;422,1621694;12,24736138;133,360725;40,45082865
20230120;36;45;15;0;90,95057048;114,6369571;432,3461694;10,45630192;137,8778435;36,89881585
20230121;24;87;5;44;31,66816353;47,91311148;275,1906099;0,006921077;66,76519862;0,014350307
20230122;32;41;9;0;81,96162411;52,16672297;284,6546099;2,23286662;71,55153333;8,445908397
20230123;34;42;6;0;90,20295276;56,60089895;294,4786099;5,971434838;76,46094439;19,15722535
