DIA;TEMP;H.R.;INT VIENTO (km/h);PREC;FFMC;DMC;DC
1;30;47;11;166;80;44;324
2;26;54;9;215;73;11;33
3;24;46;8;105;80;22;197
4;22;44;8;131;82;17;100
5;18;64;9;87;70;14;88
6;15;67;11;64;74;5;34
7;15;71;7;101;65;5;14
8;19;60;11;5;83;18;67
9;20;68;17;82;70;11;81
10;24;63;15;257;76;13;44
11;25;58;9;225;73;16;45
12;26;62;5;167;69;12;41
