DIA;TEMP;H.R.;INT VIENTO (km/h);PREC;FFMC;DMC;DC
1;28;56;10;65;82;27;155
2;26;61;10;142;69;27;225
3;24;65;9;105;71;11;171
4;22;62;7;76;76;21;323
5;17;73;8;190;67;7;48
6;16;70;9;0;83;18;108
7;16;68;11;41;68;10;131
8;16;59;14;7;81;24;189
9;20;58;13;69;75;27;198
10;23;56;10;79;78;20;186
11;25;61;9;241;70;12;54
12;30;45;6;28;86;48;156
